,ID,compound_id,Smiles,pKi,e0,e1,e2,e3
191,192,CHEMBL2171036,COc1ccc(S(=O)(=O)NC(=O)N2CCC(N3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1,7.7000571,0.21629314757022397,0.049918002646861546,-0.06402599538946095,-0.14812348174243775
192,193,CHEMBL271631,CCc1nc2cc3c(cc2s1)CCN(CCCSc1nnc(-c2cccc4nc(C)ccc24)n1C)CC3,5.700000504,0.1608487225061211,0.2825254625174582,-0.06477975388459814,0.0914507683874582
193,194,CHEMBL64120,CC(C)(C)OC(=O)N1CCC[C@@H]1C(=O)N1CCN(CCCOc2ccc(C(=O)C3CC3)cc2)CC1,4.330000038,0.2282742206645486,-0.11263871662146571,-0.11025165893735225,0.06338874996104371
194,195,CHEMBL2207669,N#Cc1ccc(OC2CCN(C[C@H](O)CNC(=O)c3c[nH]c(=O)c4ccccc34)CC2)cc1Cl,6.900008766,0.18394668074375567,0.06673145034154179,-0.05259916174441548,-0.12257540622911307
195,196,CHEMBL85606,N#Cc1ccc2c(c1)CCN(CC[C@H]1CC[C@H](NC(=O)c3ccnc4ccccc34)CC1)C2,6.199998172,0.15137729695429314,0.045866817335838826,0.012719786646731616,-0.0602504213618601
196,197,CHEMBL1824778,OC12CC3CC(CC(C3)N1Cc1cccc(F)c1)C2,5.0,-0.03139397658864315,-0.09605488757254119,0.10654147804016578,0.017303884101381967
197,198,CHEMBL621,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,7.37675071,0.06282903369178185,-0.0031574134432774087,0.12404510740865378,0.07399137547867361
198,199,CHEMBL2158835,O=C(O)[C@H](Cc1ccccc1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,7.299988938,0.19015050392787936,0.024918827120624536,-0.006069902076546178,-0.187576562173846
199,200,CHEMBL157138,CCN(CC)C(=O)N[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,7.721246399,-0.06480917329182002,0.04401043099041032,-0.018673230960093705,-0.015228238209106508
200,201,CHEMBL558663,COc1ccc(Cn2c(N3CCC(N(C)CC4CCOCC4)CC3)nc3ccccc32)cc1,7.850780887,0.047615865264015386,0.11799002714452575,0.10010400596119717,-0.08192177420782326
201,202,CHEMBL90,NCCc1c[nH]cn1,4.365231115,-0.05450453572408547,0.012784045615197666,0.0062425312823675425,0.08964401108444578
202,203,CHEMBL401576,Cc1noc2cc3c(cc12)CCN(CCCSc1nnc(-c2ccc(C(F)(F)F)cc2)n1C)CC3,6.199998172,0.11151225712277939,0.21609362575656743,-0.007334923028090887,0.07562998231511524
203,204,CHEMBL303369,CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)[C@H](N)C(C)C)CC2)cc1,4.779999976,0.1852485806914617,-0.16892445505922657,-0.056895844968541866,0.17589360727041425
204,205,CHEMBL3806206,CN/C(=N\C#N)NC[C@@H]1CC[C@H](c2c[nH]cn2)C1,5.0,-0.04633976515576124,0.05933504358176121,-0.011054347723473149,0.05506065819849276
205,206,CHEMBL2208434,O=C(NC[C@@H](O)CN1CCC(Oc2ccc(Cl)c(Cl)c2)CC1)c1cc(=O)[nH]c2ccccc12,8.400007822,0.15861462771038112,0.059074310037706336,-0.03648228644294192,-0.13748745177592292
206,207,CHEMBL2207661,O=C(NC[C@@H](O)CN1CCC(Oc2ccc(Cl)c(Cl)c2)CC1)c1c[nH]nc1C1CC1,7.89997427,0.12702541878908263,0.044157818167714566,0.0041588006128348886,-0.04664786842476174
207,208,CHEMBL150161,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)C1)c1ccc(F)cc1,6.209632599,0.03131124361282634,-0.0801411376661976,0.14235608692115065,0.040196992659427985
208,209,CHEMBL63125,CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)[C@@H](C)NC(=O)OC(C)(C)C)CC2)cc1,5.169999984,0.21167064364942248,-0.09395363764548163,-0.12648557767077317,0.09138038809566114
209,210,CHEMBL104669,N#Cc1ccc(-c2ccc(OCCCN3CC[C@@H](O)C3)cc2)cc1,5.349999603,0.035389556741317114,-0.10677664361165905,0.06174148539623046,0.0015474241893957176
210,211,CHEMBL240567,O=C(c1cc(F)cc(F)c1)N1CCN(c2ccc(OC3CCN(C4CCCC4)CC3)cc2)C(=O)C1,5.599999383,0.17495136471020822,-0.04954469494452547,-0.0400925773777021,-0.03364948173425723
211,212,CHEMBL239963,O=C(c1ccc(F)cc1)N1CCN(c2ccc(OC3CCN(C4CCCC4)CC3)cc2)C(=O)C1,5.599999383,0.1840634576946647,-0.06982407141019889,-0.042849631985790566,-0.04251074080602588
212,213,CHEMBL3805220,N#C/N=C(/NCCSc1ccccc1)NC[C@@H]1CC[C@@H](c2c[nH]cn2)C1,5.101823517,0.05144121055561645,0.0710872286617455,-0.01651723046013574,-0.006449575046571713
213,214,CHEMBL3818124,O=C1NCN(c2ccccc2)C12CCN(CCCCc1nc3cc(Cl)ccc3s1)CC2,6.570024389,0.14388998390908692,0.035792354723283015,0.024761181579400524,0.014911155782183726
